timestamp,api_type,complexity,repository,execution,time_ms,size_bytes,status
2025-11-22T13:09:53.729122,GraphQL,medium,angular/angular,5,509.16,1764,200
2025-11-22T13:09:55.169764,REST,medium,microsoft/vscode,38,1339.43,61854,200
2025-11-22T13:09:55.807674,GraphQL,complex,django/django,70,537.32,548,200
2025-11-22T13:09:56.271498,GraphQL,medium,django/django,12,363.11,173,200
2025-11-22T13:09:57.046433,GraphQL,complex,angular/angular,76,674.35,1142,200
2025-11-22T13:09:57.675306,GraphQL,complex,angular/angular,44,528.4,1142,200
2025-11-22T13:09:58.559451,GraphQL,complex,python/cpython,77,783.09,1167,200
2025-11-22T13:09:59.113122,GraphQL,medium,nodejs/node,79,452.46,1714,200
2025-11-22T13:10:00.704363,REST,complex,django/django,19,1489.52,30604,200
2025-11-22T13:10:01.380054,GraphQL,complex,django/django,63,574.41,548,200
2025-11-22T13:10:01.954033,REST,simple,python/cpython,21,472.61,6018,200
2025-11-22T13:10:02.845017,REST,medium,torvalds/linux,65,788.88,42339,200
2025-11-22T13:10:04.567522,REST,complex,facebook/react,37,1619.17,31268,200
2025-11-22T13:10:05.250878,GraphQL,complex,angular/angular,68,581.65,1142,200
2025-11-22T13:10:06.205207,GraphQL,complex,tensorflow/tensorflow,50,853.08,1394,200
2025-11-22T13:10:07.045330,REST,simple,microsoft/vscode,93,738.3,6455,200
2025-11-22T13:10:07.744753,GraphQL,complex,django/django,95,598.15,548,200
2025-11-22T13:10:09.505321,REST,complex,kubernetes/kubernetes,29,1657.27,59096,200
2025-11-22T13:10:09.960421,GraphQL,simple,kubernetes/kubernetes,82,354.12,258,200
2025-11-22T13:10:10.477574,GraphQL,simple,tensorflow/tensorflow,97,415.52,261,200
2025-11-22T13:10:11.463335,GraphQL,complex,python/cpython,89,884.52,1167,200
2025-11-22T13:10:11.908403,GraphQL,simple,torvalds/linux,56,343.89,224,200
2025-11-22T13:10:12.425282,REST,simple,python/cpython,44,416.16,6018,200
2025-11-22T13:10:12.861038,GraphQL,medium,django/django,11,334.41,173,200
2025-11-22T13:10:13.394549,REST,simple,facebook/react,75,431.61,6156,200
2025-11-22T13:10:13.887700,GraphQL,simple,nodejs/node,11,391.71,249,200
2025-11-22T13:10:14.859229,GraphQL,complex,microsoft/vscode,86,869.5,1144,200
2025-11-22T13:10:15.687140,GraphQL,medium,microsoft/vscode,31,726.27,1582,200
2025-11-22T13:10:16.530464,GraphQL,complex,kubernetes/kubernetes,54,741.55,1146,200
2025-11-22T13:10:17.172117,GraphQL,simple,microsoft/vscode,28,540.53,228,200
2025-11-22T13:10:18.357995,GraphQL,complex,torvalds/linux,70,1085.04,440,200
2025-11-22T13:10:18.821124,REST,simple,django/django,28,362.32,6147,200
2025-11-22T13:10:19.818517,GraphQL,complex,python/cpython,64,895.83,1167,200
2025-11-22T13:10:20.314975,GraphQL,medium,nodejs/node,15,395.73,1714,200
2025-11-22T13:10:20.912709,GraphQL,medium,tensorflow/tensorflow,60,497.08,2151,200
2025-11-22T13:10:21.423052,GraphQL,simple,tensorflow/tensorflow,54,409.33,261,200
2025-11-22T13:10:21.916752,REST,simple,tensorflow/tensorflow,62,392.5,6689,200
2025-11-22T13:10:22.875619,REST,medium,vuejs/vue,40,857.19,40393,200
2025-11-22T13:10:24.218448,REST,complex,torvalds/linux,62,1241.34,24019,200
2025-11-22T13:10:26.320558,REST,complex,angular/angular,17,1985.7,42753,200
2025-11-22T13:10:26.777936,GraphQL,simple,nodejs/node,51,356.42,249,200
2025-11-22T13:10:28.505730,REST,medium,microsoft/vscode,21,1626.48,61854,200
2025-11-22T13:10:29.346735,GraphQL,complex,nodejs/node,25,739.44,1208,200
2025-11-22T13:10:30.428824,REST,medium,nodejs/node,98,979.81,53169,200
2025-11-22T13:10:31.111725,GraphQL,complex,django/django,51,581.09,548,200
2025-11-22T13:10:33.399905,REST,complex,django/django,33,2186.43,30604,200
2025-11-22T13:10:33.848631,GraphQL,medium,torvalds/linux,51,347.06,145,200
2025-11-22T13:10:34.907565,REST,medium,facebook/react,19,957.13,44680,200
2025-11-22T13:10:35.370965,GraphQL,medium,facebook/react,58,362.21,1798,200
2025-11-22T13:10:35.816504,GraphQL,simple,facebook/react,52,343.91,256,200
2025-11-22T13:10:36.869792,GraphQL,medium,microsoft/vscode,53,952.12,1582,200
2025-11-22T13:10:37.364615,GraphQL,medium,nodejs/node,58,393.5,1714,200
