timestamp,api_type,complexity,repository,execution,time_ms,size_bytes,status
2025-11-22T00:57:16.407684,REST,complex,vuejs/vue,17,1636.76,26712,200
2025-11-22T00:57:18.219843,REST,complex,nodejs/node,84,1709.2,43776,200
2025-11-22T00:57:18.796484,GraphQL,medium,python/cpython,1,475.19,1714,200
2025-11-22T00:57:20.446150,REST,complex,python/cpython,11,1548.13,32734,200
2025-11-22T00:57:20.869957,REST,simple,torvalds/linux,52,322.62,5016,200
2025-11-22T00:57:21.805063,REST,medium,django/django,67,832.6,39202,200
2025-11-22T00:57:22.325211,REST,simple,python/cpython,38,418.5,6018,200
2025-11-22T00:57:23.301981,REST,medium,django/django,79,875.39,39202,200
2025-11-22T00:57:23.860438,REST,simple,facebook/react,56,457.06,6156,200
2025-11-22T00:57:24.769975,REST,medium,nodejs/node,66,808.24,55409,200
2025-11-22T00:57:25.210652,GraphQL,simple,vuejs/vue,60,339.4,281,200
2025-11-22T00:57:26.668829,REST,complex,vuejs/vue,27,1356.53,26712,200
2025-11-22T00:57:27.404751,GraphQL,complex,facebook/react,15,635.18,1192,200
2025-11-22T00:57:27.944425,REST,simple,django/django,59,438.3,6147,200
2025-11-22T00:57:28.456455,REST,simple,nodejs/node,68,411.12,5975,200
2025-11-22T00:57:29.784059,GraphQL,complex,torvalds/linux,84,1226.18,440,200
2025-11-22T00:57:30.266529,REST,simple,django/django,89,381.74,6147,200
2025-11-22T00:57:30.768370,GraphQL,medium,angular/angular,19,400.38,1758,200
2025-11-22T00:57:31.277150,GraphQL,simple,nodejs/node,76,407.95,249,200
2025-11-22T00:57:31.859470,GraphQL,simple,python/cpython,61,481.64,237,200
2025-11-22T00:57:32.307160,GraphQL,simple,django/django,6,346.86,257,200
2025-11-22T00:57:33.184601,GraphQL,simple,kubernetes/kubernetes,72,776.76,258,200
2025-11-22T00:57:33.950725,GraphQL,complex,angular/angular,55,665.35,1163,200
2025-11-22T00:57:34.710163,GraphQL,medium,facebook/react,88,658.31,1798,200
2025-11-22T00:57:35.230140,GraphQL,medium,facebook/react,49,419.33,1798,200
2025-11-22T00:57:35.756880,REST,simple,python/cpython,25,425.74,6018,200
2025-11-22T00:57:37.394321,REST,medium,microsoft/vscode,89,1535.49,87734,200
2025-11-22T00:57:38.229174,GraphQL,complex,python/cpython,44,733.59,1164,200
2025-11-22T00:57:40.010404,GraphQL,complex,django/django,59,1680.39,548,200
2025-11-22T00:57:40.493406,REST,simple,django/django,56,382.62,6147,200
2025-11-22T00:57:41.639461,GraphQL,complex,kubernetes/kubernetes,40,1045.41,1146,200
2025-11-22T00:57:43.222729,REST,medium,microsoft/vscode,77,1482.64,87734,200
2025-11-22T00:57:45.036634,REST,complex,kubernetes/kubernetes,37,1712.72,81393,200
2025-11-22T00:57:47.569631,REST,complex,microsoft/vscode,46,2429.87,44432,200
2025-11-22T00:57:48.051896,REST,simple,python/cpython,58,381.21,6018,200
2025-11-22T00:57:48.535863,REST,simple,kubernetes/kubernetes,41,383.06,6538,200
2025-11-22T00:57:50.335091,REST,complex,kubernetes/kubernetes,24,1698.05,81393,200
2025-11-22T00:57:51.373030,REST,medium,nodejs/node,16,937.12,55409,200
2025-11-22T00:57:52.418368,REST,medium,angular/angular,62,944.76,62566,200
2025-11-22T00:57:53.181173,GraphQL,complex,nodejs/node,99,662.32,1297,200
2025-11-22T00:57:55.170994,REST,complex,nodejs/node,87,1888.79,43776,200
2025-11-22T00:57:55.681304,REST,simple,kubernetes/kubernetes,98,409.7,6538,200
2025-11-22T00:57:56.234378,GraphQL,medium,nodejs/node,6,452.13,1741,200
2025-11-22T00:57:56.981515,REST,simple,django/django,74,646.15,6147,200
2025-11-22T00:57:57.800688,GraphQL,complex,nodejs/node,63,718.53,1297,200
2025-11-22T00:57:58.570288,GraphQL,medium,python/cpython,42,668.98,1714,200
2025-11-22T00:58:00.792564,REST,complex,nodejs/node,41,2121.2,43776,200
2025-11-22T00:58:01.462445,GraphQL,complex,angular/angular,20,569.51,1163,200
2025-11-22T00:58:02.377535,REST,medium,torvalds/linux,23,814.52,42339,200
2025-11-22T00:58:04.239349,REST,complex,nodejs/node,83,1758.12,43776,200
2025-11-22T00:58:05.175559,REST,medium,python/cpython,31,834.69,50604,200
2025-11-22T00:58:07.622169,REST,complex,microsoft/vscode,68,2345.41,44432,200
2025-11-22T00:58:08.152153,REST,simple,angular/angular,44,429.36,6337,200
2025-11-22T00:58:08.647489,REST,simple,kubernetes/kubernetes,64,394.66,6538,200
2025-11-22T00:58:09.085815,GraphQL,simple,tensorflow/tensorflow,38,337.95,261,200
2025-11-22T00:58:09.564219,GraphQL,simple,tensorflow/tensorflow,73,378.08,261,200
2025-11-22T00:58:10.478501,GraphQL,complex,nodejs/node,23,813.6,1297,200
2025-11-22T00:58:10.894617,GraphQL,simple,torvalds/linux,18,315.53,224,200
2025-11-22T00:58:11.613762,GraphQL,complex,django/django,20,617.92,548,200
2025-11-22T00:58:12.556013,REST,medium,python/cpython,52,840.78,50604,200
2025-11-22T00:58:13.509729,REST,medium,facebook/react,47,851.89,44680,200
2025-11-22T00:58:14.177383,REST,simple,tensorflow/tensorflow,94,566.53,6689,200
2025-11-22T00:58:15.172490,REST,medium,nodejs/node,99,894.01,55409,200
2025-11-22T00:58:16.541088,REST,complex,torvalds/linux,100,1267.46,24019,200
2025-11-22T00:58:17.332302,GraphQL,complex,tensorflow/tensorflow,99,690.67,1433,200
2025-11-22T00:58:18.281620,REST,medium,vuejs/vue,51,848.5,40393,200
2025-11-22T00:58:18.949549,GraphQL,simple,python/cpython,81,566.84,237,200
2025-11-22T00:58:19.689809,GraphQL,complex,tensorflow/tensorflow,30,639.84,1433,200
2025-11-22T00:58:20.196265,REST,simple,kubernetes/kubernetes,99,405.95,6538,200
2025-11-22T00:58:21.265627,GraphQL,complex,torvalds/linux,39,968.39,440,200
2025-11-22T00:58:21.677516,GraphQL,medium,torvalds/linux,78,311.35,145,200
2025-11-22T00:58:22.109069,GraphQL,medium,vuejs/vue,10,330.82,1808,200
2025-11-22T00:58:22.726347,GraphQL,simple,microsoft/vscode,70,516.84,228,200
2025-11-22T00:58:23.284793,REST,simple,nodejs/node,9,456.97,5975,200
2025-11-22T00:58:24.138866,GraphQL,complex,kubernetes/kubernetes,87,753.34,1146,200
2025-11-22T00:58:24.722870,GraphQL,medium,kubernetes/kubernetes,40,483.45,1814,200
2025-11-22T00:58:25.246190,GraphQL,medium,python/cpython,57,422.31,1714,200
2025-11-22T00:58:25.746954,REST,simple,tensorflow/tensorflow,39,400.18,6689,200
2025-11-22T00:58:26.186143,GraphQL,simple,nodejs/node,91,338.46,249,200
2025-11-22T00:58:26.949225,GraphQL,complex,angular/angular,32,661.73,1163,200
2025-11-22T00:58:27.460517,GraphQL,medium,django/django,76,409.67,173,200
2025-11-22T00:58:27.984796,GraphQL,medium,facebook/react,16,423.61,1798,200
2025-11-22T00:58:28.930353,GraphQL,complex,nodejs/node,45,844.62,1297,200
2025-11-22T00:58:29.953734,GraphQL,complex,angular/angular,44,922.04,1163,200
2025-11-22T00:58:30.398987,GraphQL,simple,tensorflow/tensorflow,40,344.23,261,200
2025-11-22T00:58:30.801154,GraphQL,medium,torvalds/linux,68,301.24,145,200
2025-11-22T00:58:31.878751,REST,medium,kubernetes/kubernetes,94,975.83,119074,200
2025-11-22T00:58:32.638444,GraphQL,simple,microsoft/vscode,88,658.38,228,200
2025-11-22T00:58:33.735478,GraphQL,complex,torvalds/linux,90,995.78,440,200
2025-11-22T00:58:34.273268,REST,simple,angular/angular,94,436.84,6337,200
